Unnamed: 0;C.P.;Dirección;Horario;Latitud;Localidad;Longitud (WGS84);Margen;Municipio;Precio Biodiesel;Precio Bioetanol;Precio Gas Natural Comprimido;Precio Gas Natural Licuado;Precio Gases licuados del petróleo;Precio Gasoleo A;Precio Gasoleo B;Precio Gasoleo Premium;Precio Gasolina 95 E10;Precio Gasolina 95 E5;Precio Gasolina 95 E5 Premium;Precio Gasolina 98 E10;Precio Gasolina 98 E5;Precio Hidrogeno;Provincia;Remisión;Rótulo;Tipo Venta;% BioEtanol;% Éster metílico;IDEESS;IDMunicipio;IDProvincia;IDCCAA;Isla;IdIsla
8651;35480;CALLE LEON Y CASTILLO, 47;"L-J: 06:00-22:30; V: 06:00-23:00; S: 06:45-23:00; D: 07:45-22:30";28,101861;AGAETE;-15,702083;N;Agaete;;;;;;1,289;;;;1,299;;;1,429;;LAS PALMAS;dm;CEPSA AGAETE;P;0;0;7764;5233;35;5;Gran Canaria;1
8652;35480;CARRETERA CTRA GENERAL DEL NORTE KM. 35,800;"L-V: 05:30-22:00; S: 06:30-22:00; D: 08:00-22:00";28,104056;AGAETE;-15,700389;D;Agaete;;;;;;1,289;;;;1,299;;;1,429;;LAS PALMAS;OM;DISA AGAETE;P;0;0;7901;5233;35;5;Gran Canaria;1
8653;35260;AUTOPISTA GC-1 KM. 21;L-D: 24H;27,899167;AGÜIMES;-15,404722;D;Agüimes;;;;;0,81;1,294;;1,388;;1,306;;;1,409;;LAS PALMAS;OM;DISA AUTOPISTA KM 21;P;0;0;8711;5234;35;5;Gran Canaria;1
8654;35260;CALLE JUAN ALVARADO Y SANZ, 79;"L-S: 06:30-22:30; D: 07:00-22:00";27,904056;AGÜIMES;-15,444806;N;Agüimes;;;;;;1,288;;1,358;;1,298;;;1,358;;LAS PALMAS;OM;DISA AGÜIMES;P;0;0;7907;5234;35;5;Gran Canaria;1
8655;35260;CALLE ANSITE, 100;L-D: 24H;27,876333;AGÜIMES;-15,426333;N;Agüimes;;;;;;1,259;;1,379;;1,279;;;1,419;;LAS PALMAS;dm;CEPSA CRUCE DE ARINAGA;P;0;0;7922;5234;35;5;Gran Canaria;1
8656;35118;CALLE FRESADORA, S/N;"L-S: 06:00-23:00; D: 07:00-23:00";27,874889;CRUCE DE ARINAGA;-15,423194;D;Agüimes;;;;;;1,279;;1,399;;1,297;;;1,449;;LAS PALMAS;dm;BP KM 13 CRUCE ARINAGA;P;0;0;13663;5234;35;5;Gran Canaria;1
8657;35118;CALLE ANSITE, 33;L-D: 24H;27,879611;CRUCE DE ARINAGA;-15,429972;D;Agüimes;;;;;;1,097;;;;1,097;;;;;LAS PALMAS;dm;PLENOIL AGÜIMES II;P;0;0;7704;5234;35;5;Gran Canaria;1
8658;35118;CALLE CANAL DERECHA, S/N;L-D: 05:00-21:00;27,862222;POLÍGONO RESIDENCIAL DE ARINAGA;-15,417778;D;Agüimes;;;;;;1,279;;1,404;;1,299;;;1,444;;LAS PALMAS;OM;REPSOL ARINAGA;P;0;0;11499;5234;35;5;Gran Canaria;1
8659;35117;CALLE GARLOPA, 41;"L-V: 07:00-22:00; S: 08:00-21:00; D: 08:00-15:00";27,877278;AGÜIMES;-15,419194;D;Agüimes;;;;;;1,219;;1,339;;1,239;1,319;;1,389;;LAS PALMAS;dm;OCÉANO ARINAGA;P;0;0;13836;5234;35;5;Gran Canaria;1
8660;35117;CALLE ALMENDRO, 29;L-D: 06:00-22:00;27,862944;AGÜIMES;-15,43275;N;Agüimes;;;;;;1,279;;1,348;;1,296;;;1,344;;LAS PALMAS;OM;DISA BALOS;P;0;0;13357;5234;35;5;Gran Canaria;1
